k,delta_cT2
0.001,3e-13
0.0010234114021054528,3.142112693878346e-13
0.0010473708979594498,3.2909573936771525e-13
0.0010718913192051276,3.446853000561926e-13
0.001096985797892384,3.610133522332771e-13
0.0011226677735108135,3.7811487890391816e-13
0.0011489510001873086,3.96026520249425e-13
0.0011758495540521569,4.1478665212939683e-13
0.0012033778407775893,4.344354683023599e-13
0.0012315506032928262,4.550150665412772e-13
0.0012603829296797275,4.765695388284158e-13
0.001289890261253308,4.991450658228381e-13
0.001320088400831418,5.227900158028952e-13
0.0013509935211980266,5.475550482957128e-13
0.0013826221737646563,5.734932226157111e-13
0.0014149912974345759,6.006601115446754e-13
0.001448118227674533,6.291139203969692e-13
0.0014820207057988585,6.58915611724964e-13
0.0015167168884709225,6.90129035931875e-13
0.001552225357427048,7.22821068071858e-13
0.0015885651294280528,7.570617511304299e-13
0.0016257556664437934,7.929244460922308e-13
0.001663816886076129,8.304859891176199e-13
0.0017027691722258996,8.698268561648625e-13
0.0017426333860096508,9.11031335410638e-13
0.0017834308769319094,9.541877078382357e-13
0.0018251834943190425,9.99388436380401e-13
0.0018679135990207828,1.046730364022032e-12
0.0019116440753857017,1.0963149212871762e-12
0.001956398343517065,1.1482483435548948e-12
0.0020022003718155844,1.2026418986695395e-12
0.002049074689815846,1.2596121253331716e-12
0.002097046401323233,1.3192810827908164e-12
0.0021461411978584036,1.381776612343531e-12
0.002196385372416547,1.4472326112496123e-12
0.002247805833548725,1.5157893196007037e-12
0.002300430119772917,1.5875936207875308e-12
0.0023542864143224177,1.6627993561989319e-12
0.0024094035602395245,1.7415676548284688e-12
0.002465811075822604,1.824067278494828e-12
0.0025235391704347657,1.9104749834155757e-12
0.002582618760682675,2.0009758989090347e-12
0.0026430814869741054,2.0957639240355746e-12
0.0027049597304631343,2.1950421430281574e-12
0.0027682866303920667,2.2990232604022388e-12
0.002833096101839324,2.4079300566771524e-12
0.002899422853882875,2.5219958656854947e-12
0.0029673024081888696,2.6414650744930393e-12
0.0030367711180354575,2.766593647000297e-12
0.003107866187782014,2.897649672347612e-12
0.0031806256927941192,3.0349139392986213e-12
0.0032550885998350564,3.178680537832844e-12
0.0033312947879346735,3.3292574892362162e-12
0.003409285069746811,3.486967406039555e-12
0.0034891012134067737,3.6521481832189854e-12
0.003570785964900463,3.8251537221390386e-12
0.0036543830709572546,4.006354688789692e-12
0.0037399373024787977,4.196139307941715e-12
0.003827494478516311,4.3949141949218545e-12
0.0039171014908092605,4.60310522679004e-12
0.004008806328898464,4.821158454784914e-12
0.00410265810582719,5.049541059992863e-12
0.00419870708444391,5.288742354287843e-12
0.00429700470432084,5.539274828686628e-12
0.004397603609302721,5.801675251365697e-12
0.004500557675700498,6.076505817692e-12
0.004605922041145104,6.364355354731885e-12
0.004713753134116724,6.665840582818571e-12
0.004824108704165369,6.981607436881222e-12
0.004937047852839003,7.312332450366663e-12
0.00505263106533568,7.658724204718548e-12
0.0051709202428967555,8.021524847519831e-12
0.005291978735958442,8.401511682550892e-12
0.0054158713780794706,8.799498835170126e-12
0.005542664520663107,9.216338996585279e-12
0.005672426068491977,9.652925250752205e-12
0.005805225516094896,1.0110192987815774e-11
0.0059411339849650335,1.0589121908191949e-11
0.006080224261649427,1.1090738121585097e-11
0.006222570836730231,1.161611634543767e-11
0.006368249944718587,1.2166382207522484e-11
0.00651733960488242,1.274271465761068e-11
0.006669919663030122,1.3346348493382755e-11
0.006826071834272393,1.397857700599406e-11
0.0069858797467852495,1.4640754750963302e-11
0.007149428986597577,1.5334300450320497e-11
0.007316807143427192,1.6060700032232156e-11
0.007488103857590023,1.682150981461637e-11
0.007663410868007463,1.761835983956847e-11
0.007842822061337682,1.845295736574152e-11
0.008026433522257174,1.9327090526164114e-11
0.008214343584919423,2.024263215933206e-11
0.008406652885618326,2.120154382178248e-11
0.00860346441668451,2.220587999074696e-11
0.008804883581643464,2.325779246588839e-11
0.009011018251665018,2.4359534979552024e-11
0.009221978823334321,2.5513468025408002e-11
0.009437878277775381,2.6722063915831318e-11
0.009658832241158708,2.798791207885409e-11
0.009884959046625586,2.93137246060395e-11
0.01011637979766207,3.070234206316358e-11
0.010353218432956621,3.2156739576153824e-11
0.010595601792776159,3.3680033205324407e-11
0.010843659686896103,3.52754866215647e-11
0.011097524964120722,3.6946518098784783e-11
0.01135733358343105,3.869670783759924e-11
0.011623224686798524,4.0529805635940796e-11
0.011895340673703195,4.244973892303727e-11
0.012173827277396614,4.446062117396575e-11
0.012458833642950081,4.656676072281143e-11
0.012750512407130135,4.8772669993313854e-11
0.013049019780144023,5.108307516677698e-11
0.013354515629298987,5.350292630795728e-11
0.013667163564620066,5.603740797062347e-11
0.013987131026472387,5.869195030551194e-11
0.014314589375234792,6.147224069447543e-11
0.014649713983072856,6.438423593575211e-11
0.014992684327860457,6.743417500646176e-11
0.015343684089300124,7.062859242967253e-11
0.015702901247293774,7.397433227467812e-11
0.01607052818261639,7.74785628204803e-11
0.016446761779946636,8.114879191389403e-11
0.016831803533309566,8.49928830551797e-11
0.017225859653987867,8.90190722456661e-11
0.01762914118095948,9.323598563346043e-11
0.018041864093920727,9.765265799505178e-11
0.018464249428955436,1.0227855209240435e-10
0.018896523396912095,1.0712357894701388e-10
0.01933891750455231,1.1219811907436393e-10
0.019791668678535573,1.175130447242778e-10
0.020255019392306676,1.2307974317481582e-10
0.02072921779595371,1.289101411296252e-10
0.021214517849106298,1.3501673027101492e-10
0.02171117945694504,1.4141259402350172e-10
0.02221946860939524,1.481114355851701e-10
0.022739657523579287,1.5512760728690285e-10
0.023272024789604086,1.624761413423841e-10
0.023816855519761582,1.7017278205475931e-10
0.024374441501222206,1.78234019548951e-10
0.024945081352303167,1.8667712510190698e-10
0.025529080682395178,1.9552018814647277e-10
0.026126752255633278,2.0478215502817157e-10
0.026738416158399468,2.1448286959792734e-10
0.027364399970746706,2.246431157277007e-10
0.02800503894183631,2.3528466184013044e-10
0.028660676169482518,2.464303075475829e-10
0.02933166278390044,2.58103932500535e-10
0.03001835813575589,2.703305475499506e-10
0.030721129988617576,2.8313634833326146e-10
0.031440354715915,2.965487713987675e-10
0.03217641750250737,3.105965529886987e-10
0.03292971255097151,3.2530979060688316e-10
0.03370064329271928,3.407200075029315e-10
0.03448962260405758,3.5686022021109587e-10
0.0352970730273065,3.7376500928850245e-10
0.036123426997094324,3.914705934043209e-10
0.036969127071950283,4.100149069386022e-10
0.03783462617131929,4.294376812570435e-10
0.03872038781812555,4.4978052983581355e-10
0.03962688638701478,4.710870374188132e-10
0.040554607358408296,4.934028533983992e-10
0.04150404757850477,5.167757896196362e-10
0.04247571552536898,5.412559228176215e-10
0.043470131581250245,5.668957019073629e-10
0.04448782831127585,5.937500603560671e-10
0.0455293507486695,6.218765338786115e-10
0.046595256686646824,6.513353837083516e-10
0.04768611697714469,6.821897257073782e-10
0.04880251583654431,7.145056655928473e-10
0.0499450511585514,7.483524405690949e-10
0.051114334834401684,7.838025676689988e-10
0.05231099308056263,8.209319991224015e-10
0.053535666774107246,8.598202850844752e-10
0.054789011795939424,9.005507440726767e-10
0.05607169938205458,9.432106414774499e-10
0.057384416483023955,9.878913765291453e-10
0.05872786613189483,1.034688678121728e-09
0.06010276782070382,1.083702809912829e-09
0.061509857885805014,1.1350387851395788e-09
0.06294988990221888,1.1888065916104436e-09
0.06442363508721373,1.2451214273551426e-09
0.06593188271333549,1.3041039474375079e-09
0.06747544053110693,1.3658805224600847e-09
0.06905513520162328,1.4305835093143408e-09
0.07067181273927492,1.4983515347565424e-09
0.07232633896483537,1.5693297924168787e-09
0.07401959996915644,1.6436703538781832e-09
0.07575250258771912,1.7215324944907177e-09
0.0775259748862946,1.8030830346211144e-09
0.07934096665797492,1.8884966970665665e-09
0.08119844993184012,1.977956481400064e-09
0.08309941949353396,2.0716540560486995e-09
0.08504489341802678,2.16979016894506e-09
0.0870359136148516,2.272575077631573e-09
0.0890735463861044,2.3802289997392477e-09
0.09115888299750823,2.4929825848060183e-09
0.09329304026284686,2.6110774084455497e-09
0.09547716114208062,2.734766489925249e-09
0.09771241535346496,2.864314834262417e-09
0.1,3.0000000000000004e-09
